State_FIPS,County_FIPS,CountName,SNAP2010,SNAP2000
01,000,Alabama,859695,405325
01,001,"Autauga County, AL",7593,2814
01,003,"Baldwin County, AL",20604,4178
01,005,"Barbour County, AL",6324,4415
01,007,"Bibb County, AL",4152,1685
01,009,"Blount County, AL",8967,2436
01,011,"Bullock County, AL",3039,2124
01,013,"Butler County, AL",5402,3407
01,015,"Calhoun County, AL",25252,10339
01,017,"Chambers County, AL",8488,3499
01,019,"Cherokee County, AL",5448,2061
01,021,"Chilton County, AL",9962,3555
01,023,"Choctaw County, AL",3364,2161
01,025,"Clarke County, AL",6370,5014
01,027,"Clay County, AL",2268,862
01,029,"Cleburne County, AL",2643,977
01,031,"Coffee County, AL",6375,3511
01,033,"Colbert County, AL",9418,4232
01,035,"Conecuh County, AL",4383,3064
01,037,"Coosa County, AL",2044,838
01,039,"Covington County, AL",8170,4652
01,041,"Crenshaw County, AL",3068,1489
01,043,"Cullman County, AL",11767,3737
01,045,"Dale County, AL",10504,5665
01,047,"Dallas County, AL",17595,11837
01,049,"DeKalb County, AL",13683,3852
01,051,"Elmore County, AL",11637,4101
01,053,"Escambia County, AL",9696,4382
01,055,"Etowah County, AL",18010,8837
01,057,"Fayette County, AL",3995,2105
01,059,"Franklin County, AL",6705,2817
01,061,"Geneva County, AL",5654,2598
01,063,"Greene County, AL",3463,2535
01,065,"Hale County, AL",4261,2699
01,067,"Henry County, AL",3577,2044
01,069,"Houston County, AL",19052,9206
01,071,"Jackson County, AL",9476,3977
01,073,"Jefferson County, AL",114033,49522
01,075,"Lamar County, AL",3086,1643
01,077,"Lauderdale County, AL",13594,5845
01,079,"Lawrence County, AL",6367,2841
01,081,"Lee County, AL",17020,5492
01,083,"Limestone County, AL",11300,4555
01,085,"Lowndes County, AL",4566,3357
01,087,"Macon County, AL",7780,6108
01,089,"Madison County, AL",33178,13476
01,091,"Marengo County, AL",5535,3769
01,093,"Marion County, AL",6783,2696
01,095,"Marshall County, AL",15191,6208
01,097,"Mobile County, AL",96162,52104
01,099,"Monroe County, AL",5771,3918
01,101,"Montgomery County, AL",52072,29433
01,103,"Morgan County, AL",16529,5068
01,105,"Perry County, AL",4831,4379
01,107,"Pickens County, AL",4424,3270
01,109,"Pike County, AL",7798,4885
01,111,"Randolph County, AL",6251,1973
01,113,"Russell County, AL",14491,5195
01,115,"St. Clair County, AL",12513,4656
01,117,"Shelby County, AL",13104,3033
01,119,"Sumter County, AL",4869,3969
01,121,"Talladega County, AL",18156,8816
01,123,"Tallapoosa County, AL",8770,3897
01,125,"Tuscaloosa County, AL",28190,13705
01,127,"Walker County, AL",11811,4517
01,129,"Washington County, AL",3524,2233
01,131,"Wilcox County, AL",5346,5031
01,133,"Winston County, AL",4241,2023
02,000,Alaska,76371,29473
02,013,"Aleutians East Borough, AK",113,78
02,016,"Aleutians West Census Area, AK",169,48
02,020,"Anchorage Borough, AK",27512,8578
02,050,"Bethel Census Area, AK",6187,3345
02,060,"Bristol Bay Borough, AK",54,12
02,068,"Denali Borough, AK",54,53
02,070,"Dillingham Census Area, AK",997,463
02,090,"Fairbanks North Star Borough, AK",5685,2375
02,100,"Haines Borough, AK",180,112
02,105,"Hoonah-Angoon Census Area, AK",382,
02,110,"Juneau Borough, AK",2805,928
02,122,"Kenai Peninsula Borough, AK",4759,1745
02,130,"Ketchikan Gateway Borough, AK",1772,694
02,150,"Kodiak Island Borough, AK",914,375
02,158,"Kusilvak Census Area, AK",,
02,164,"Lake and Peninsula Borough, AK",250,130
02,170,"Matanuska-Susitna Borough, AK",9071,2596
02,180,"Nome Census Area, AK",3005,1531
02,185,"North Slope Borough, AK",935,195
02,188,"Northwest Arctic Borough, AK",2055,1171
02,195,"Petersburg Borough, AK",403,
02,198,"Prince of Wales-Hyder Census Area, AK",990,
